mlbam_id,Name,Team,GS,IP,ER,R,ERA,ip_f,starter_id,handoffs,bq_runners,actual_bq,exp_re_emp,exp_re_pub,exp_sp_emp,exp_sp_pub,adjERA_re_emp,adjERA_re_pub,adjERA_sp_emp,adjERA_sp_pub,adjRA9_sp_emp,RA9,delta,delta_pct
592791,Jameson Taillon,Chicago Cubs,23,129.2,53,54,3.68,129.66666666666663,592791,4,6,4,2.1935374192907653,2.171,2.2246153410615888,2.32,3.553278946840234,3.5517146529562993,3.55543602624335,3.562056555269924,3.624844766603247,3.7480719794344486,-0.12456397375665018,-0.0338489059121332
684007,Shota Imanaga,Chicago Cubs,25,144.2,60,62,3.73,144.66666666666663,684007,6,8,4,2.565293711037607,2.5890000000000004,2.563626586216245,2.55,3.6434629728064873,3.6449377880184337,3.643359257667832,3.6425115207373278,3.7677832208014728,3.857142857142858,-0.08664074233216779,-0.02322808105420048
694738,Landen Roupp,San Francisco Giants,22,106.2,45,55,3.8,106.66666666666667,694738,10,22,10,10.372620111578115,10.165,10.715896840968925,10.549999999999999,3.828314821914403,3.810796875,3.857278795956753,3.8432812499999995,4.701028795956753,4.640625,0.057278795956753115,0.015073367357040294
641793,Zack Littell,Cincinnati Reds,32,186.2,79,81,3.81,186.66666666666663,641793,7,8,1,2.1767696686547793,2.217,2.199960583953806,2.26,3.865665680452999,3.8676053571428577,3.8667838138692026,3.8696785714285724,3.963212385297774,3.905357142857144,0.056783813869202504,0.014903888154646326
681343,Shane Smith,Chicago White Sox,29,146.1,62,70,3.81,146.33333333333331,681343,8,11,2,3.7100579232936175,3.816,3.8777622806302596,3.89,3.9183862504075804,3.924902050113896,3.928700641405506,3.929453302961276,4.420727976257442,4.305239179954443,0.11870064140550607,0.031155023990946475
681190,Randy Vásquez,San Diego Padres,26,133.2,57,59,3.84,133.66666666666663,681190,12,24,8,8.250126085517875,8.29,8.569714157523867,8.41,3.8547466441620526,3.8574314214463854,3.876265043025299,3.865511221945138,4.010928384671184,3.972568578553617,0.03626504302529909,0.009444021621171639
434378,Justin Verlander,San Francisco Giants,29,152.0,65,74,3.85,152.0,434378,8,18,3,5.138927547420208,5.293,5.446615552242245,5.32,3.975331236360407,3.9844539473684213,3.9935496050669754,3.9860526315789464,4.526444341909081,4.381578947368421,0.14354960506697534,0.03728561170570788
683004,Jack Leiter,Texas Rangers,29,151.2,65,69,3.86,151.66666666666663,683004,16,23,10,7.373207920921434,7.309,7.482414620887605,7.65,3.7012672832195146,3.6974571428571434,3.707747680799925,3.717692307692309,3.9451103181625626,4.094505494505496,-0.1522523192000751,-0.03944360601038215
608379,Michael Wacha,Kansas City Royals,31,172.2,74,74,3.86,172.66666666666663,608379,13,20,11,5.11027372794456,5.229,5.405620279425685,5.45,3.550149402807922,3.5563378378378387,3.56554391417856,3.567857142857144,3.56554391417856,3.857142857142858,-0.29445608582144,-0.07628396005736789
686752,Ryan Pepiot,Tampa Bay Rays,31,167.2,72,77,3.86,167.66666666666663,686752,6,10,2,2.6016008378870974,2.662,2.716333112754241,2.63,3.8971038223120313,3.9003459244532817,3.9032624136070875,3.898628230616303,4.1716520756349205,4.133200795228629,0.0432624136070876,0.011207879172820623
663554,Casey Mize,Detroit Tigers,28,149.0,64,68,3.87,149.0,663554,13,19,2,6.019219658953912,6.228,6.238148847430044,6.26,4.108543469332787,4.121154362416107,4.121767380046109,4.123087248322148,4.363378118301143,4.10738255033557,0.2517673800461093,0.06505617055455021
666200,Jesús Luzardo,Philadelphia Phillies,32,183.2,80,85,3.92,183.66666666666663,666200,12,24,11,10.08539491011653,9.998999999999999,10.428860908936425,10.26,3.87532788125798,3.8710943738656995,3.892158338550425,3.8838838475499102,4.137167412960588,4.165154264972777,-0.027841661449575117,-0.007102464655503856
681347,Mike Burrows,Pittsburgh Pirates,19,96.0,42,43,3.94,96.0,681347,5,8,4,2.6693449236346956,2.708,2.8343705167502904,2.8600000000000003,3.812751086590753,3.8163749999999994,3.82822223594534,3.830625,3.92197223594534,4.03125,-0.11177776405466,-0.02836999087681726
607067,Colin Rea,Chicago Cubs,27,159.1,70,73,3.95,159.33333333333331,607067,12,16,6,4.319550645514998,4.404,4.431303909906754,4.42,3.859054115960052,3.863824267782427,3.865366538844106,3.8647280334728036,4.034822605789713,4.123430962343097,-0.0846334611558941,-0.021426192697694708
605135,Chris Bassitt,Toronto Blue Jays,31,170.1,75,80,3.96,170.33333333333331,605135,17,25,6,8.80687909895143,8.862,8.992213513317054,9.06,4.111126684289019,4.114039138943249,4.1209193050089254,4.1245009784735815,4.385107171936518,4.227005870841488,0.16091930500892548,0.04063618813356704
500779,Jose Quintana,Milwaukee Brewers,24,131.2,58,65,3.96,131.66666666666663,500779,8,11,2,3.432654325149354,3.3649999999999998,3.404511879875542,3.52,4.062485232351983,4.057860759493672,4.060561571535798,4.068455696202533,4.539042584194026,4.443037974683546,0.10056157153579814,0.025394336246413674
579328,Yusei Kikuchi,Los Angeles Angels,33,178.1,79,87,3.99,178.33333333333331,579328,11,20,7,5.618025984121013,5.645,5.948081031583179,5.75,3.917171404806108,3.918532710280374,3.933828388509805,3.923831775700935,4.337566706266815,4.390654205607477,-0.05617161149019534,-0.014078098117843442
656550,Grant Holmes,Atlanta Braves,21,115.0,51,52,3.99,115.0,656550,10,12,3,3.1990671169979836,3.314,3.246047604542973,3.44,4.00688351350419,4.015878260869566,4.010560247312059,4.025739130434783,4.088821116877276,4.069565217391304,0.02056024731205852,0.005152944188485845
663903,Brady Singer,Cincinnati Reds,32,169.2,76,80,4.03,169.66666666666663,663903,6,9,3,2.773947539084066,2.772,2.8197205556751,2.9299999999999997,4.019443189696012,4.019339882121809,4.021871227904181,4.027721021611003,4.234051974466067,4.243614931237722,-0.008128772095819414,-0.0020170650361834774
680573,Simeon Woods Richardson,Minnesota Twins,22,111.1,50,53,4.04,111.33333333333331,680573,7,12,2,2.4736481630404294,2.535,2.6696197136121884,2.65,4.080205091024227,4.085164670658683,4.096047102597393,4.094461077844311,4.338562072657274,4.284431137724551,0.056047102597393206,0.013873045197374556
592836,Taijuan Walker,Philadelphia Phillies,21,123.2,56,62,4.08,123.66666666666667,592836,5,11,3,3.1052003570203537,3.248,3.264261421101814,3.16,4.0831277887858475,4.093520215633423,4.094703661373987,4.087115902964959,4.531361343314687,4.512129380053908,0.014703661373986598,0.0036038385720555386
